Party,Name,Constituency,ConstituencyVote,Constituency%,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8
DUP,David Simpson,Upper Bann,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain
Con,Keith Simpson,Broadland,Leave,54,Against,Against,Against,Against,Against,Against,Against,Against
Con,Chris Skidmore,Kingswood,Leave,57,Against,Against,Against,Against,Against,Against,Against,Against
Lab,Dennis Skinner,Bolsover,Leave,70,Against,Against,For,Against,Against,For,Against,For
Lab,Andy Slaughter,Hammersmith,Remain,69,For,For,For,Abstain,For,Against,Against,Against
Lab,Ruth Smeeth,Stoke-on-Trent North,Leave,72,For,Against,For,Against,Against,Against,Against,Against
TIG,Angela Smith,Penistone and Stocksbridge,Leave,61,Against,For,Against,Against,For,Against,Against,Against
Lab,Cat Smith,Lancaster and Fleetwood,Leave,51,For,For,For,For,Abstain,Against,Against,Abstain
Con,Chloe Smith,Norwich North,Leave,57,Against,Against,Against,Against,Against,Abstain,Abstain,Against
Lab,Eleanor Smith,Wolverhampton South West,Leave,54,For,For,For,For,Abstain,Against,Against,Abstain
Con,Henry Smith,Crawley,Leave,58,Against,Against,Against,Against,Against,For,For,Against
Lab,Jeff Smith,Manchester - Withington,Remain,74,For,For,For,For,For,Against,Against,Against
Con,Julian Smith,Skipton and Ripon,Leave,53,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Laura Smith,Crewe and Nantwich,Leave,59,For,Against,For,Against,Abstain,Against,Against,Against
Lab,Nick Smith,Blaenau Gwent,Leave,62,For,For,For,Abstain,Abstain,Against,Against,Abstain
Lab,Owen Smith,Pontypridd,Remain,54,Abstain,For,Abstain,Against,For,Against,Against,Against
Con,Royston Smith,Southampton - Itchen,Leave,60,Against,Against,Against,Against,Against,For,For,Against
Lab,Karin Smyth,Bristol South,Remain,52,For,For,For,For,For,Against,Against,Against
Lab,Gareth Snell,Stoke-on-Trent Central,Leave,65,For,Against,For,Against,Against,Against,Against,Against
Con,Sir Nicholas Soames,Mid Sussex,Remain,53,For,Against,Against,For,Against,Against,Against,Against
Lab,Alex Sobel,Leeds North West,Remain,65,For,For,For,For,For,Against,Against,Against
TIG,Anna Soubry,Broxtowe,Leave,52,Against,For,Against,Against,For,Against,Against,Against
Lab,John Spellar,Warley,Leave,62,For,Against,For,Against,Against,Against,Against,Against
Con,Dame Caroline Spelman,Meriden,Leave,59,For,Against,Against,For,Against,Against,Against,For
Con,Mark Spencer,Sherwood,Leave,64,Against,Against,Against,Against,Against,For,Abstain,Against
Lab,Keir Starmer,Holborn and St Pancras,Remain,73,For,For,For,For,Abstain,Against,Against,Abstain
SNP,Chris Stephens,Glasgow South West,Remain,59,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,Andrew Stephenson,Pendle,Leave,63,Against,Against,Against,Against,Against,For,For,Against
Lab,Jo Stevens,Cardiff Central,Remain,70,Abstain,For,Abstain,Against,For,Against,Against,Against
Con,John Stevenson,Carlisle,Leave,60,Against,Against,Against,For,Against,Abstain,Against,For
Con,Bob Stewart,Beckenham,Remain,52,Against,Against,Against,Against,Against,For,For,Against
Con,Iain Stewart,Milton Keynes South,Leave,53,Against,Against,Against,Against,Against,For,For,Against
Con,Rory Stewart,Penrith and The Border,Leave,55,For,Against,Against,Abstain,Against,Against,Against,Abstain
LD,Jamie Stone,Caithness - Sutherland and Easter...,Remain,51,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain
Con,Sir Gary Streeter,South West Devon,Leave,55,Against,Against,Against,Against,Against,Against,Against,For
Lab,Wes Streeting,Ilford North,Leave,53,For,For,For,Abstain,For,Against,Against,Against
Con,Mel Stride,Central Devon,Leave,51,Against,Against,Against,Against,Against,Against,Against,Against
Lab,Graham Stringer,Blackley and Broughton,Leave,51,Against,Against,Abstain,Against,Against,Abstain,For,Against
Con,Graham Stuart,Beverley and Holderness,Leave,59,Against,Against,Against,Against,Against,For,For,Against
Con,Julian Sturdy,York Outer,Remain,55,Against,Against,Against,Against,Against,Abstain,For,For
Con,Rishi Sunak,Richmond (Yorks),Leave,55,Against,Against,Against,Against,Against,For,For,Against
Con,Sir Desmond Swayne,New Forest West,Leave,56,Against,Against,Against,Against,Against,For,For,Against
Lab,Paul Sweeney,Glasgow North East,Remain,59,For,For,For,For,For,Against,Against,Abstain
LD,Jo Swinson,East Dunbartonshire,Remain,73,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain
Con,Sir Hugo Swire,East Devon,Leave,50,Against,Against,Against,Against,Against,Against,Abstain,Against
Con,Sir Robert Syms,Poole,Leave,57,Against,Against,Against,Against,Against,For,Against,Against
Lab,Mark Tami,Alyn and Deeside,Leave,58,For,For,For,Abstain,Abstain,Against,Against,Abstain
SNP,Alison Thewliss,Glasgow Central,Remain,71,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,Derek Thomas,St Ives,Leave,55,Against,Against,Against,Against,Against,For,For,For
Lab,Gareth Thomas,Harrow West,Remain,55,For,For,For,For,For,Against,Against,Against
Lab,Nick Thomas-Symonds,Torfaen,Leave,61,For,For,For,Abstain,Abstain,Against,Against,Abstain
Con,Ross Thomson,Aberdeen South,Remain,68,Against,Against,Against,Against,Against,For,For,Against
Lab,Emily Thornberry,Islington South and Finsbury,Remain,72,For,For,For,For,Abstain,Against,Against,Abstain
Con,Maggie Throup,Erewash,Leave,63,Against,Against,Against,Against,Against,For,Against,Against
Lab,Stephen Timms,East Ham,Remain,53,For,For,For,For,For,Against,Against,Abstain
Con,Kelly Tolhurst,Rochester and Strood,Leave,64,Against,Against,Against,Against,Against,For,Against,Against
Con,Justin Tomlinson,North Swindon,Leave,57,Against,Against,Against,Against,Against,For,For,Against
Con,Michael Tomlinson,Mid Dorset and North Poole,Leave,58,Against,Against,Against,Against,Against,For,For,Against
Con,Craig Tracey,North Warwickshire,Leave,68,Against,Against,Against,Against,Against,For,Against,Against
Con,David Tredinnick,Bosworth,Leave,61,Against,Against,Against,For,Against,Against,Against,For
Con,Anne-Marie Trevelyan,Berwick-upon-Tweed,Leave,56,Against,Against,Against,Against,Against,For,For,Against
Lab,Jon Trickett,Hemsworth,Leave,68,For,Abstain,For,For,Abstain,Against,Against,Abstain
Con,Elizabeth Truss,South West Norfolk,Leave,66,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Tom Tugendhat,Tonbridge and Malling,Leave,53,Abstain,Against,Abstain,Abstain,Against,Abstain,Abstain,Abstain
Lab,Anna Turley,Redcar,Leave,68,For,For,For,Abstain,For,Against,Against,Against
Lab,Karl Turner,Kingston upon Hull East,Leave,73,For,For,For,For,Abstain,Abstain,Abstain,Abstain
Lab,Derek Twigg,Halton,Leave,58,For,Against,For,Against,Against,Against,Against,Against
Lab,Stephen Twigg,Liverpool - West Derby,Leave,50,For,For,For,For,For,Against,Against,Abstain
Lab,Liz Twist,Blaydon,Leave,56,For,For,For,For,Abstain,Against,Against,Abstain
TIG,Chuka Umunna,Streatham,Remain,79,Against,For,Against,Against,For,Against,Against,Against
Con,Edward Vaizey,Wantage,Remain,54,For,Abstain,Against,For,Abstain,Against,Against,For
Con,Shailesh Vara,North West Cambridgeshire,Leave,57,Against,Against,Against,Against,Against,For,For,Against
Lab,Keith Vaz,Leicester East,Leave,53,For,For,For,For,For,Against,Against,Abstain
Lab,Valerie Vaz,Walsall South,Leave,62,For,For,For,For,Abstain,Against,Against,Abstain
Con,Martin Vickers,Cleethorpes,Leave,68,Against,Against,Against,Against,Against,For,Against,Against
Con,Theresa Villiers,Chipping Barnet,Remain,59,Against,Against,Against,Against,Against,Abstain,For,Against
Con,Charles Walker,Broxbourne,Leave,66,Against,Against,Against,Against,Against,Against,Against,Against
Con,Robin Walker,Worcester,Leave,54,Abstain,Against,Against,Against,Against,Against,Against,Against
Lab,Thelma Walker,Colne Valley,Remain,50,For,For,For,Against,For,Against,Against,Against
Con,Ben Wallace,Wyre and Preston North,Leave,54,Against,Against,Against,Against,Against,For,Against,For
Con,David Warburton,Somerton and Frome,Leave,51,Against,Against,Against,Against,Against,For,For,For
Con,Matt Warman,Boston and Skegness,Leave,75,Against,Against,Against,Against,Against,For,Against,Against
Con,Giles Watling,Clacton,Leave,71,Against,Against,Against,Against,Against,For,For,Against
Lab,Tom Watson,West Bromwich East,Leave,68,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Catherine West,Hornsey and Wood Green,Remain,75,For,For,For,Abstain,For,Against,Against,Against
Lab,Matt Western,Warwick and Leamington,Remain,59,For,For,For,For,For,Against,Against,Against
Con,Helen Whately,Faversham and Mid Kent,Leave,58,Against,Against,Against,Against,Against,For,For,Against
Con,Heather Wheeler,South Derbyshire,Leave,60,Against,Against,Against,Against,Against,For,For,Against
Lab,Alan Whitehead,Southampton - Test,Leave,51,For,For,For,For,For,Against,Against,Against
Lab,Martin Whitfield,East Lothian,Remain,65,For,For,For,Abstain,For,Against,Against,Abstain
SNP,Philippa Whitford,Central Ayrshire,Remain,57,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,Craig Whittaker,Calder Valley,Leave,53,Against,Against,Against,Against,Against,For,Against,Against
Con,John Whittingdale,Maldon,Leave,61,Against,Against,Against,Against,Against,For,For,Against
Con,Bill Wiggin,North Herefordshire,Leave,58,Against,Against,Against,Against,Against,For,For,Against
PC,Hywel Williams,Arfon,Remain,65,Abstain,For,Abstain,For,For,Against,Against,Abstain
Lab,Paul Williams,Stockton South,Leave,58,Against,For,For,Against,For,Against,Against,Against
Ind,Chris Williamson,Derby North,Leave,54,For,Against,For,Against,Against,Abstain,Against,Abstain
Con,Gavin Williamson,South Staffordshire,Leave,65,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Phil Wilson,Sedgefield,Leave,59,For,For,For,For,Abstain,Against,Against,Abstain
DUP,Sammy Wilson,East Antrim,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain
Lab,Dame Rosie Winterton,Doncaster Central,Leave,66,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
SNP,Pete Wishart,Perth and North Perthshire,Remain,60,Abstain,Abstain,Abstain,Abstain,For,Against,Against,Against
TIG,Sarah Wollaston,Totnes,Leave,54,Against,For,Against,Against,For,Against,Against,Against
Con,Mike Wood,Dudley South,Leave,70,Against,Against,Against,Against,Against,For,Abstain,Against
Ind,John Woodcock,Barrow and Furness,Leave,57,Abstain,For,Against,Abstain,For,Against,Against,Against
Con,William Wragg,Hazel Grove,Leave,52,Against,Against,Against,Against,Against,For,For,Against
Con,Jeremy Wright,Kenilworth and Southam,Remain,53,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Mohammad Yasin,Bedford,Leave,52,For,For,For,For,For,Against,Against,Against
Con,Nadhim Zahawi,Stratford-on-Avon,Leave,51,Against,Against,Against,Abstain,Against,Abstain,Abstain,Abstain
Lab,Daniel Zeichner,Cambridge,Remain,74,Abstain,For,Abstain,Against,For,Against,Against,Against
